"Informazioni cronologiche","user","level","game","datetime","event_name","value_0","value_1","value_2","value_3","value_4","value_5"
"2020/12/06 10:50:15 PM CET","b2e88c8c-71d1-404b-aa8f-1709a5a15042","build_tutorial_000","0","06/12/20 22:50:15","InkStatusAtCheckpoint","2","0,5607348","0","0","",""
"2020/12/06 10:50:17 PM CET","b2e88c8c-71d1-404b-aa8f-1709a5a15042","build_tutorial_000","0","06/12/20 22:50:17","PlayerDeath","57,34004","-5,18274","","","",""
"2020/12/06 10:50:18 PM CET","b2e88c8c-71d1-404b-aa8f-1709a5a15042","build_tutorial_000","0","06/12/20 22:50:18","InkFinished","Damage","","","","",""
"2020/12/06 10:50:18 PM CET","b2e88c8c-71d1-404b-aa8f-1709a5a15042","build_tutorial_000","0","06/12/20 22:50:18","InkFinished","Climb","","","","",""
"2020/12/06 10:51:30 PM CET","b2e88c8c-71d1-404b-aa8f-1709a5a15042","build_tutorial_000","0","06/12/20 22:51:30","InkFinished","Construction","","","","",""
"2020/12/06 10:51:59 PM CET","b2e88c8c-71d1-404b-aa8f-1709a5a15042","damage_tutorial_002","1","06/12/20 22:51:58","InkFinished","Climb","","","","",""
"2020/12/06 10:51:59 PM CET","b2e88c8c-71d1-404b-aa8f-1709a5a15042","damage_tutorial_002","1","06/12/20 22:51:58","InkFinished","Construction","","","","",""
"2020/12/06 10:51:59 PM CET","b2e88c8c-71d1-404b-aa8f-1709a5a15042","damage_tutorial_002","1","06/12/20 22:51:58","InkFinished","Damage","","","","",""
"2020/12/06 10:52:18 PM CET","b2e88c8c-71d1-404b-aa8f-1709a5a15042","damage_tutorial_002","1","06/12/20 22:52:18","PlayerDeath","7,898938","-5,891827","","","",""
"2020/12/06 10:52:28 PM CET","b2e88c8c-71d1-404b-aa8f-1709a5a15042","damage_tutorial_002","1","06/12/20 22:52:27","PlayerDeath","13,84645","-8,855215","","","",""
"2020/12/06 10:52:41 PM CET","b2e88c8c-71d1-404b-aa8f-1709a5a15042","damage_tutorial_002","1","06/12/20 22:52:41","InkStatusAtCheckpoint","1","0,1379589","0","0","",""
"2020/12/06 10:52:41 PM CET","b2e88c8c-71d1-404b-aa8f-1709a5a15042","damage_tutorial_002","1","06/12/20 22:52:41","CheckpointTime","0","1","42","","",""
"2020/12/06 10:53:23 PM CET","b2e88c8c-71d1-404b-aa8f-1709a5a15042","damage_tutorial_002","1","06/12/20 22:53:22","CheckpointTime","1","2","41","","",""
"2020/12/06 10:53:23 PM CET","b2e88c8c-71d1-404b-aa8f-1709a5a15042","damage_tutorial_002","1","06/12/20 22:53:22","InkStatusAtCheckpoint","2","0,3110827","0","0,28","",""
"2020/12/06 10:53:44 PM CET","b2e88c8c-71d1-404b-aa8f-1709a5a15042","damage_tutorial_002","1","06/12/20 22:53:44","EnemyKilled","Eraser","11996","68,75813","-11,80987","",""
"2020/12/06 10:53:44 PM CET","b2e88c8c-71d1-404b-aa8f-1709a5a15042","damage_tutorial_002","1","06/12/20 22:53:44","EnemyKilled","Shooter","12076","68,75813","-11,80987","",""
"2020/12/06 10:54:12 PM CET","4aa7545c-4309-4486-a12f-92d9ffa6a25b","build_tutorial_000","3","06/12/20 22:54:13","InkStatusAtCheckpoint","1","0","0","0","",""
"2020/12/06 10:54:12 PM CET","4aa7545c-4309-4486-a12f-92d9ffa6a25b","build_tutorial_000","3","06/12/20 22:54:13","CheckpointTime","0","1","4","","",""
"2020/12/06 10:54:16 PM CET","b2e88c8c-71d1-404b-aa8f-1709a5a15042","damage_tutorial_002","1","06/12/20 22:54:15","EnemyKilled","JumperEraser","11940","92,24812","-21,13108","",""
"2020/12/06 10:54:16 PM CET","b2e88c8c-71d1-404b-aa8f-1709a5a15042","damage_tutorial_002","1","06/12/20 22:54:15","EnemyKilled","Jumper (6)","11956","92,24812","-21,13108","",""
"2020/12/06 10:54:18 PM CET","b2e88c8c-71d1-404b-aa8f-1709a5a15042","damage_tutorial_002","1","06/12/20 22:54:18","EnemyKilled","JumperEraser","11960","83,22813","-16,14308","",""
"2020/12/06 10:54:18 PM CET","b2e88c8c-71d1-404b-aa8f-1709a5a15042","damage_tutorial_002","1","06/12/20 22:54:18","EnemyKilled","Jumper (3)","11946","83,22813","-16,14308","",""
"2020/12/06 10:54:21 PM CET","b2e88c8c-71d1-404b-aa8f-1709a5a15042","damage_tutorial_002","1","06/12/20 22:54:21","EnemyKilled","JumperEraser","11966","86,21812","-15,85346","",""
"2020/12/06 10:54:21 PM CET","b2e88c8c-71d1-404b-aa8f-1709a5a15042","damage_tutorial_002","1","06/12/20 22:54:21","EnemyKilled","Jumper (4)","11936","86,21812","-15,85346","",""
"2020/12/06 10:54:25 PM CET","b2e88c8c-71d1-404b-aa8f-1709a5a15042","damage_tutorial_002","1","06/12/20 22:54:25","InkFinished","Damage","","","","",""
"2020/12/06 10:54:25 PM CET","b2e88c8c-71d1-404b-aa8f-1709a5a15042","damage_tutorial_002","1","06/12/20 22:54:25","EnemyKilled","JumperEraser","11964","89,26813","-15,61279","",""
"2020/12/06 10:54:25 PM CET","b2e88c8c-71d1-404b-aa8f-1709a5a15042","damage_tutorial_002","1","06/12/20 22:54:25","EnemyKilled","Jumper (5)","11930","89,26813","-15,61279","",""
"2020/12/06 10:54:28 PM CET","4aa7545c-4309-4486-a12f-92d9ffa6a25b","build_tutorial_000","3","06/12/20 22:54:29","CheckpointTime","1","2","16","","",""
"2020/12/06 10:54:28 PM CET","4aa7545c-4309-4486-a12f-92d9ffa6a25b","build_tutorial_000","3","06/12/20 22:54:29","InkStatusAtCheckpoint","2","0,2235745","0","0","",""
"2020/12/06 10:54:51 PM CET","b2e88c8c-71d1-404b-aa8f-1709a5a15042","damage_tutorial_002","1","06/12/20 22:54:51","EnemyKilled","JumperEraser","11954","108,0781","-18,7452","",""
"2020/12/06 10:54:51 PM CET","b2e88c8c-71d1-404b-aa8f-1709a5a15042","damage_tutorial_002","1","06/12/20 22:54:51","EnemyKilled","Jumper (8)","11938","108,0781","-18,7452","",""
"2020/12/06 10:54:52 PM CET","4aa7545c-4309-4486-a12f-92d9ffa6a25b","build_tutorial_000","3","06/12/20 22:54:53","InkFinished","Construction","","","","",""
"2020/12/06 10:54:53 PM CET","4aa7545c-4309-4486-a12f-92d9ffa6a25b","build_tutorial_000","3","06/12/20 22:54:54","CheckpointTime","2","3","25","","",""
"2020/12/06 10:54:53 PM CET","4aa7545c-4309-4486-a12f-92d9ffa6a25b","build_tutorial_000","3","06/12/20 22:54:54","InkStatusAtCheckpoint","3","0","0","0","",""
"2020/12/06 10:54:56 PM CET","b2e88c8c-71d1-404b-aa8f-1709a5a15042","damage_tutorial_002","1","06/12/20 22:54:56","EnemyKilled","JumperEraser","11970","103,6681","-16,03358","",""
"2020/12/06 10:54:56 PM CET","b2e88c8c-71d1-404b-aa8f-1709a5a15042","damage_tutorial_002","1","06/12/20 22:54:56","EnemyKilled","Jumper (7)","11972","103,6681","-16,03358","",""
"2020/12/06 10:55:13 PM CET","4aa7545c-4309-4486-a12f-92d9ffa6a25b","build_tutorial_000","3","06/12/20 22:55:14","InkStatusAtCheckpoint","4","0,6010194","0","0","",""
"2020/12/06 10:55:13 PM CET","4aa7545c-4309-4486-a12f-92d9ffa6a25b","build_tutorial_000","3","06/12/20 22:55:14","CheckpointTime","3","4","19","","",""
"2020/12/06 10:55:19 PM CET","b2e88c8c-71d1-404b-aa8f-1709a5a15042","damage_tutorial_002","1","06/12/20 22:55:18","EnemyKilled","JumperEraser","11942","112,7281","-16,23599","",""
"2020/12/06 10:55:19 PM CET","b2e88c8c-71d1-404b-aa8f-1709a5a15042","damage_tutorial_002","1","06/12/20 22:55:18","EnemyKilled","Jumper (9)","11950","112,7281","-16,23599","",""
"2020/12/06 10:55:26 PM CET","b2e88c8c-71d1-404b-aa8f-1709a5a15042","damage_tutorial_002","1","06/12/20 22:55:26","EnemyKilled","JumperEraser","11958","116,7681","-15,96049","",""
"2020/12/06 10:55:27 PM CET","b2e88c8c-71d1-404b-aa8f-1709a5a15042","damage_tutorial_002","1","06/12/20 22:55:26","EnemyKilled","Jumper (10)","11948","116,7681","-15,96049","",""
"2020/12/06 10:55:35 PM CET","b2e88c8c-71d1-404b-aa8f-1709a5a15042","damage_tutorial_002","1","06/12/20 22:55:34","InkStatusAtCheckpoint","3","0,1298738","0","0,24","",""
"2020/12/06 10:55:35 PM CET","b2e88c8c-71d1-404b-aa8f-1709a5a15042","damage_tutorial_002","1","06/12/20 22:55:34","CheckpointTime","2","3","132","","",""
"2020/12/06 10:55:37 PM CET","4aa7545c-4309-4486-a12f-92d9ffa6a25b","build_tutorial_000","3","06/12/20 22:55:38","InkFinished","Construction","","","","",""
"2020/12/06 10:55:38 PM CET","4aa7545c-4309-4486-a12f-92d9ffa6a25b","build_tutorial_000","3","06/12/20 22:55:39","PlayerDeath","102,081","8,397201","","","",""
"2020/12/06 10:55:39 PM CET","4aa7545c-4309-4486-a12f-92d9ffa6a25b","build_tutorial_000","3","06/12/20 22:55:40","InkFinished","Climb","","","","",""
"2020/12/06 10:55:39 PM CET","4aa7545c-4309-4486-a12f-92d9ffa6a25b","build_tutorial_000","3","06/12/20 22:55:40","InkFinished","Damage","","","","",""
"2020/12/06 10:55:40 PM CET","b2e88c8c-71d1-404b-aa8f-1709a5a15042","damage_tutorial_002","1","06/12/20 22:55:40","EnemyKilled","Shooter (1)","12082","132,9781","-13,03987","",""
"2020/12/06 10:55:40 PM CET","b2e88c8c-71d1-404b-aa8f-1709a5a15042","damage_tutorial_002","1","06/12/20 22:55:40","EnemyKilled","Eraser","12002","132,9781","-13,03987","",""
"2020/12/06 10:55:44 PM CET","b2e88c8c-71d1-404b-aa8f-1709a5a15042","damage_tutorial_002","1","06/12/20 22:55:44","EnemyKilled","Eraser","11998","141,5281","-13,03987","",""
"2020/12/06 10:55:44 PM CET","b2e88c8c-71d1-404b-aa8f-1709a5a15042","damage_tutorial_002","1","06/12/20 22:55:44","EnemyKilled","Shooter (2)","12078","141,5281","-13,03987","",""
"2020/12/06 10:55:47 PM CET","b2e88c8c-71d1-404b-aa8f-1709a5a15042","damage_tutorial_002","1","06/12/20 22:55:46","EnemyKilled","Eraser","12006","149,5481","-13,03987","",""
"2020/12/06 10:55:47 PM CET","b2e88c8c-71d1-404b-aa8f-1709a5a15042","damage_tutorial_002","1","06/12/20 22:55:46","EnemyKilled","Shooter (4)","12072","149,5481","-13,03987","",""
"2020/12/06 10:55:48 PM CET","b2e88c8c-71d1-404b-aa8f-1709a5a15042","damage_tutorial_002","1","06/12/20 22:55:48","InkStatusAtCheckpoint","4","0,1298738","0","0,12","",""
"2020/12/06 10:55:48 PM CET","b2e88c8c-71d1-404b-aa8f-1709a5a15042","damage_tutorial_002","1","06/12/20 22:55:48","CheckpointTime","3","4","13","","",""
"2020/12/06 10:55:57 PM CET","b2e88c8c-71d1-404b-aa8f-1709a5a15042","damage_tutorial_002","1","06/12/20 22:55:56","InkFinished","Damage","","","","",""
"2020/12/06 10:55:58 PM CET","4aa7545c-4309-4486-a12f-92d9ffa6a25b","build_tutorial_000","3","06/12/20 22:55:58","PlayerDeath","98,7776","1,083208","","","",""
"2020/12/06 10:55:59 PM CET","4aa7545c-4309-4486-a12f-92d9ffa6a25b","build_tutorial_000","3","06/12/20 22:55:59","InkFinished","Climb","","","","",""
"2020/12/06 10:55:59 PM CET","4aa7545c-4309-4486-a12f-92d9ffa6a25b","build_tutorial_000","3","06/12/20 22:55:59","InkFinished","Damage","","","","",""
"2020/12/06 10:55:59 PM CET","4aa7545c-4309-4486-a12f-92d9ffa6a25b","build_tutorial_000","3","06/12/20 22:56:00","PlayerDeath","110,1961","6,474435","","","",""
"2020/12/06 10:56:07 PM CET","b2e88c8c-71d1-404b-aa8f-1709a5a15042","damage_tutorial_002","1","06/12/20 22:56:07","PlayerDeath","168,3299","-22,5526","","","",""
"2020/12/06 10:56:08 PM CET","b2e88c8c-71d1-404b-aa8f-1709a5a15042","damage_tutorial_002","1","06/12/20 22:56:08","InkFinished","Climb","","","","",""
"2020/12/06 10:56:21 PM CET","4aa7545c-4309-4486-a12f-92d9ffa6a25b","build_tutorial_000","3","06/12/20 22:56:22","LevelTime","133","","","","",""
